"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1418",1764,"1","9.88e-15","5.66e-43","1.34e-54","4.07e-59","2.1e-86","7.79e-95","1.44e-95","2.53e-106","2.55e-135","4.49e-180","0"
"1419",1765,"Athenaeus","Sophocles","Aeschylus","Hesiod","Hdt","Odyssey","Iliad","Polybius","Plutarch","Diodorus","Lysias","Thucydides"
"1420",1766,"1","5.11e-34","1.12e-44","1.82e-58","7.3e-62","2.17e-64","5.19e-67","7.96e-91","1.81e-105","2.54e-136","4.72e-202","2.53e-250"
"1421",1767,"Iliad","Odyssey","Hesiod","Sophocles","Aeschylus","Hdt","Athenaeus","Thucydides","Diodorus","Lysias","Plutarch","Polybius"
"1422",1768,"0.80370029","0.19629971","2.72e-33","3.19e-81","2.49e-81","1.56e-167","4.28e-222","2.59e-226","0","0","0","0"
"1423",1769,"Hesiod","Aeschylus","Odyssey","Iliad","Sophocles","Athenaeus","Diodorus","Hdt","Lysias","Plutarch","Polybius","Thucydides"
"1424",1770,"1","4.35e-35","1.83e-44","3.81e-55","1.3e-90","1.17e-105","0","0","0","0","0","0"
"1425",1771,"Hdt","Odyssey","Thucydides","Iliad","Hesiod","Plutarch","Polybius","Diodorus","Sophocles","Athenaeus","Aeschylus","Lysias"
"1426",1772,"1","1.22e-20","1.03e-22","9.18e-23","4.94e-38","8.65e-42","3.61e-59","3.69e-68","1.53e-80","3.13e-86","2.23e-113","0"
"1427",1773,"Iliad","Odyssey","Hesiod","Sophocles","Aeschylus","Hdt","Athenaeus","Polybius","Thucydides","Plutarch","Diodorus","Lysias"
"1428",1774,"0.974332505","0.025667495","7.87e-35","2.55e-51","1.35e-59","1.8e-78","2e-114","1.36e-194","7.6e-199","3.62e-254","0","0"
"1429",1775,"Hdt","Plutarch","Athenaeus","Iliad","Hesiod","Thucydides","Sophocles","Polybius","Odyssey","Diodorus","Aeschylus","Lysias"
"1430",1776,"1","5.16e-26","1.05e-42","2.84e-46","3.92e-69","1.6e-69","6.42e-70","7.91e-75","5.53e-76","1.12e-95","4.48e-111","0"
"1431",1777,"Sophocles","Hdt","Athenaeus","Aeschylus","Odyssey","Polybius","Diodorus","Iliad","Hesiod","Plutarch","Lysias","Thucydides"
"1432",1778,"0.999995249","4.73e-06","2.26e-08","2.23e-19","1.87e-23","5.41e-27","2.45e-42","2.54e-50","3.41e-57","4.17e-69","8.11e-73","2.55e-274"
"1433",1779,"Odyssey","Iliad","Sophocles","Hesiod","Aeschylus","Hdt","Athenaeus","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"1434",1780,"1","2.86e-31","2.83e-41","6.49e-55","8.17e-57","1.77e-104","1.32e-118","0","0","0","0","0"
"1435",1781,"Iliad","Hesiod","Sophocles","Odyssey","Hdt","Aeschylus","Athenaeus","Polybius","Plutarch","Thucydides","Diodorus","Lysias"
"1436",1782,"1","8.17e-12","2.13e-14","1.91e-19","1.43e-22","9.61e-24","2.26e-33","1.54e-91","2.6e-139","7.93e-175","1.53e-189","0"
"1437",1783,"Sophocles","Aeschylus","Odyssey","Athenaeus","Hesiod","Iliad","Lysias","Hdt","Polybius","Diodorus","Plutarch","Thucydides"
"1438",1784,"1","1.95e-11","5.36e-67","6.41e-75","6.25e-123","2.62e-138","1.12e-291","2.34e-302","1.04e-305","0","0","0"
"1439",1785,"Polybius","Plutarch","Athenaeus","Hdt","Diodorus","Hesiod","Sophocles","Thucydides","Iliad","Odyssey","Aeschylus","Lysias"
"1440",1786,"0.999994688","4.93e-06","3.82e-07","4.65e-16","1.39e-16","1.7e-30","1.69e-36","3.2e-37","8.96e-48","1.32e-51","7.6e-53","3.04e-218"
